pico_time_s,node,esp_time_s,dist_cm
8508.981000,B,120.633390,7.323
8509.037000,A,182.396460,6.877
8509.094000,A,182.489032,11.559
8509.152000,A,182.535180,9.501
8510.455000,A,183.971880,11.851
8510.576000,B,122.287420,14.766
8510.640000,A,184.018308,10.101
8510.702000,A,184.064300,8.352
8510.762000,B,122.377600,10.444
8510.825000,A,184.155984,7.752
8510.886000,A,184.247620,7.186
8510.947000,A,184.293240,7.169
8511.008000,A,184.384368,7.169
8511.069000,A,184.430132,6.294
8511.134000,A,184.478920,8.644
8511.189000,B,122.825400,7.580
8512.503000,A,185.917520,29.755
8512.560000,B,124.256260,19.860
8512.667000,A,185.964960,7.460
8512.730000,B,124.301736,17.150
8512.801000,B,124.391132,6.448
8512.868000,A,186.147600,4.253
8512.933000,B,124.572910,6.860
8512.994000,B,124.617544,6.929
8513.061000,B,124.706490,7.495
8513.125000,B,124.751144,7.083
8513.189000,B,124.840450,7.100
8513.251000,B,124.884960,7.495
8513.314000,A,186.649860,6.586
8513.379000,B,125.018370,7.923
8513.443000,B,125.062920,7.443
8513.562000,A,186.835940,9.227
8513.629000,B,125.196290,24.387
8513.693000,A,186.973420,6.603
8513.762000,A,187.019200,6.586
8513.821000,A,187.155400,7.477
8513.885000,B,125.510750,7.152
8513.953000,A,187.292800,7.477
8514.013000,B,125.644192,6.671
8514.079000,A,187.431180,9.501
8514.157000,A,187.476940,6.894
8514.218000,A,187.568280,6.003
8514.283000,B,125.910870,6.483
8514.352000,A,187.661068,6.003
8514.474000,B,126.043656,6.071
8514.545000,B,126.132590,6.500
8514.612000,A,187.886320,6.003
8514.679000,B,126.266160,6.500
8514.747000,B,126.357140,6.483
8514.812000,B,126.446350,6.500
8514.876000,B,126.490852,6.911
8514.942000,B,126.579850,6.929
8515.008000,B,126.624360,6.894
8515.074000,B,126.713424,6.929
8515.143000,B,126.757932,6.929
8515.211000,A,188.525900,6.020
8515.272000,B,126.891250,19.500
8515.395000,A,188.664932,6.020
8515.468000,B,127.027330,18.625
8515.536000,A,188.801960,5.985
8515.604000,B,127.162500,14.457
8515.671000,A,188.985920,6.877
8515.739000,B,127.343170,14.903
8515.807000,A,189.123200,6.003
8515.872000,B,127.477520,15.589
8515.936000,A,189.260280,23.616
8516.004000,B,127.612600,15.761
8516.071000,A,189.397820,10.684
8516.138000,B,127.747880,14.457
8516.211000,A,189.538080,10.667
8516.329000,A,189.584120,9.810
8516.397000,A,189.675560,9.810
8516.461000,A,189.721480,8.935
8516.533000,A,189.813160,9.810
8516.603000,A,189.950560,6.003
8516.673000,A,189.996320,6.020
8516.744000,A,190.042060,6.877
8516.857000,A,190.132880,2.795
8516.902000,A,190.220780,6.860
8516.952000,A,190.266892,6.003
8517.000000,B,128.650180,16.327
8517.052000,B,128.740440,15.847
8517.110000,A,190.497268,5.111
8517.221000,B,128.830340,10.873
8517.281000,B,128.875500,7.597
8517.327000,A,190.635460,6.020
8518.544000,B,130.350600,14.646
8518.592000,A,192.070500,6.877
8518.642000,B,130.395830,7.220
8518.700000,A,192.116620,16.035
8518.756000,B,130.440370,10.084
8518.804000,B,130.484850,16.395
8518.856000,B,130.529700,18.831
8518.908000,B,130.576320,15.298
8518.960000,A,192.345868,4.545
8519.011000,A,192.391340,6.397
8519.117000,A,192.437500,5.419
8519.171000,B,130.798830,6.568
8519.221000,B,130.843440,6.140
8519.272000,B,130.887680,6.191
8519.324000,A,192.711792,7.477
8519.380000,A,192.759552,7.495
8519.430000,A,192.805320,9.518
8519.480000,A,192.851320,6.603
8519.533000,B,131.199340,6.294
8519.588000,A,192.987720,6.603
8519.639000,A,193.033692,6.603
8519.695000,A,193.079500,6.603
8519.742000,A,193.125084,6.586
8519.856000,A,193.170868,7.477
8519.914000,B,131.555770,6.311
8519.970000,B,131.600040,6.311
8520.023000,B,131.644580,6.311
8520.079000,B,131.733640,6.328
8520.135000,B,131.822480,6.740
8520.188000,B,131.866740,6.723
8520.242000,B,131.911260,6.706
8520.295000,B,131.955750,12.331
8520.346000,A,193.722780,6.568
8520.399000,A,193.768760,6.586
8520.455000,B,132.134110,7.152
8520.509000,B,132.178620,7.134
8520.616000,B,132.223140,7.134
8520.671000,A,193.997716,6.603
8520.730000,A,194.042968,6.603
8520.788000,B,132.402920,6.260
8520.844000,B,132.491740,6.277
8520.903000,A,194.271840,6.603
8520.967000,A,194.317168,6.603
8521.028000,B,132.669820,6.980
8521.087000,A,194.454440,6.603
8521.146000,A,194.500240,6.586
8521.206000,B,132.846980,6.020
8521.267000,A,194.639180,6.568
8521.324000,A,194.684920,6.586
8521.442000,B,133.024620,5.522
8521.499000,A,194.822820,7.752
8521.556000,B,133.157660,5.539
8521.618000,B,133.201880,5.539
8521.679000,B,133.337320,5.900
8521.744000,B,133.381540,6.671
8521.801000,A,195.143480,7.186
